"","Overall"
"n","  1832"
"o3 (mean (SD))","100.06 (42.31)"
"temp (mean (SD))"," 17.98 (8.50)"
"rh (mean (SD))"," 72.68 (13.67)"
"pm25 (mean (SD))"," 34.37 (22.30)"
"pm10 (mean (SD))"," 49.45 (27.71)"
"co (mean (SD))","  0.68 (0.21)"
"no2 (mean (SD))"," 39.81 (17.74)"
"so2 (mean (SD))","  8.17 (3.75)"
