"","Overall"
"n","  1833"
"o3 (mean (SD))","100.03 (42.31)"
"temp (mean (SD))"," 17.98 (8.50)"
"rh (mean (SD))"," 72.69 (13.68)"
"pm25 (mean (SD))"," 34.36 (22.30)"
"pm10 (mean (SD))"," 49.44 (27.70)"
"co (mean (SD))","  0.68 (0.21)"
"no2 (mean (SD))"," 39.82 (17.74)"
"so2 (mean (SD))","  8.17 (3.75)"
